식품명,조리상태,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g)
밀,도넛가루,404,73.9,8.5,6.8,0.0
밀,박력밀가루,374,77.73,9.15,0.94,0.0
밀,부침가루,368,75.52,9.8,0.98,3.49
밀,빵가루,392,77.04,11.95,2.05,4.74
밀,중력밀가루,375,76.64,10.34,1.01,0.0
밀,통밀가루,365,71.5,11.9,1.6,0.0
밀,튀김가루,367,78.41,7.22,0.8,0.0
밀,팬케이크가루,394,75.9,7.9,4.9,0.0
과자,건빵,419,75.37,9.92,8.67,16.84
과자,대추꿀약과,428,65.7,4.5,16.3,0.0
과자,마카로니,457,71.28,11.5,13.96,0.93
과자,밤,330,70.86,6.35,2.39,42.45
과자,모나카,346,82.62,3.35,0.29,36.58
과자,바닐라 웨하스,521,65.6,4.1,26.9,0.0
과자,소프트,489,60.34,5.7,24.93,23.46
과자,하드,534,62.63,6.68,28.58,9.21
과자,팽화,383,82.29,11.06,1.07,1.74
과자,사과파이,471,64.98,5.5,21.0,22.83
과자,새우,494,66.32,6.04,22.77,4.0
과자,옥수수,520,65.73,5.25,26.27,2.01
과자,약과,422,71.7,3.8,13.3,0.0
과자,김,420,82.8,6.7,6.9,0.0
과자,초코볼,501,70.2,4.3,22.5,0.0
과자,초코파이,428,67.59,4.29,15.57,31.18
과자,땅콩버터,493,67.97,8.36,20.87,22.42
과자,버터,512,66.47,6.37,24.52,16.45
과자,초코칩,494,71.38,5.92,20.55,23.18
과자,통밀,471,72.73,6.48,17.17,16.62
과자,크랙커,513,58.8,7.0,27.8,0.0
과자,땅콩샌드,524,64.23,7.66,26.24,14.64
과자,채소,506,68.26,7.38,22.62,12.12
과자,치즈샌드,497,68.24,6.08,22.23,14.69
국수,생것,291,60.09,7.25,0.87,7.39
국수,말린것,368,74.41,10.38,1.24,2.57
국수,삶은것,123,24.7,3.55,0.44,0.0
라면,말린것,445,69.05,8.23,14.28,0.0
라면,삶은것,175,29.65,3.61,4.17,0.0
마카로니,말린것,380,77.1,12.2,0.4,0.0
마카로니,삶은것,126,25.8,3.8,0.2,0.0
스파게티면,말린것,365,76.64,11.78,1.28,1.39
스파게티면,삶은것,129,26.9,3.8,0.0,0.0
우동면,생것,164,33.09,3.33,1.25,0.0
우동면,삶은것,139,29.12,2.95,0.46,0.0
중국국수면,생것,249,55.7,8.6,1.2,1.0
중국국수면,삶은것,133,29.2,4.9,0.6,0.1
쫄면,말린것,348,71.29,9.16,1.08,4.5
칼국수면,생것,303,63.02,7.25,0.87,0.0
칼국수면,삶은것,140,28.98,3.49,0.43,0.0
칼국수면,반건조,281,57.5,6.4,1.4,0.0
빵,건포도빵,263,51.1,8.2,3.5,0.0
빵,곰보빵,415,61.44,9.5,14.54,17.01
빵,꽈배기,404,47.2,7.9,20.4,0.0
빵,난,257,47.6,10.3,3.4,0.0
빵,링,426,40.6,7.3,26.0,0.0
빵,팥,347,45.7,6.6,15.3,0.0
빵,소프트,309,48.6,10.1,9.0,6.4
빵,하드,293,52.7,9.9,4.3,1.77
빵,마늘빵,424,57.5,9.8,17.2,0.0
빵,우유,296,41.4,6.9,11.4,0.0
빵,잉글리쉬,235,46.0,7.7,1.8,0.0
빵,모닝빵,316,58.99,9.06,4.91,11.33
빵,모카빵,354,63.29,8.31,7.53,15.43
빵,바게트,289,57.5,9.4,1.3,1.8
빵,베이글,270,54.6,9.6,2.0,4.8
빵,달걀,278,53.0,10.6,2.1,0.0
빵,소시지빵,323,33.0,10.59,16.52,5.05
빵,식빵,279,49.68,9.01,4.91,4.12
빵,옥수수,270,50.45,9.44,3.42,5.32
빵,옥수수빵,321,49.1,7.4,10.2,0.0
빵,와플,291,32.9,7.9,14.1,0.0
빵,단호박,239,52.4,5.4,0.9,0.0
빵,채소,231,37.3,8.1,5.5,0.0
빵,카스텔라,299,59.46,6.91,3.72,24.85
빵,크루아상,438,43.9,7.9,26.8,0.0
빵,버터,406,45.8,8.2,21.0,11.26
빵,크로켓,307,29.7,6.0,18.2,0.0
빵,크림빵,275,45.5,6.0,7.7,0.0
빵,팥빵,253,48.51,7.57,3.17,16.37
빵,페이스트리,457,46.5,8.6,26.3,0.0
빵,과일,371,47.8,5.4,18.5,27.53
빵,치즈,374,37.2,8.0,21.9,6.95
빵,피칸파이,407,59.61,4.5,16.69,25.18
케이크,과일,324,61.6,2.9,9.1,27.42
케이크,롤 케이크,369,39.24,7.51,20.22,17.41
케이크,배 케이크,296,43.5,6.2,10.8,0.0
케이크,생크림 블루베리,280,24.39,3.03,18.88,22.87
케이크,스폰지 케이크,352,47.2,6.6,15.2,0.0
케이크,엔젤푸드 케이크,258,57.8,5.9,0.8,0.0
케이크,초콜릿 케이크,417,49.31,5.23,22.09,38.19
케이크,치즈 케이크,331,28.82,5.87,21.32,17.61
케이크,파운드 케이크,408,49.65,5.66,20.71,17.43
케이크,팬케이크,227,28.3,6.4,9.7,0.0
보리,생것,349,76.89,8.75,1.67,0.92
보리,압맥,343,75.38,8.74,1.66,0.1
보리,할맥,354,77.71,9.3,1.67,1.62
보리,밥,144,31.79,3.55,0.7,0.37
보리,가루,357,76.48,11.16,1.83,0.3
보리,껍질 포함,364,76.09,10.95,2.99,0.0
보리,볶은것,360,74.1,12.7,2.6,0.0
보리,엿기름,358,71.68,14.65,2.71,10.24
수수,생것,374,73.63,11.67,3.01,0.46
수수떡,수수경단,218,43.1,8.2,1.4,0.0
시리얼,쌀,390,86.99,6.65,1.68,21.72
시리얼,옥수수,378,88.05,5.11,0.59,39.55
시리얼,건조과일,395,84.66,5.81,3.65,35.14
시리얼,코코넛,434,80.93,5.56,9.75,29.49
시리얼,아몬드,426,78.18,7.3,9.29,34.79
시리얼,코코아,407,85.78,6.08,4.34,40.91
시리얼,현미,394,85.33,6.8,2.79,17.24
아마란스,말린것,383,67.27,17.09,5.94,1.65
옥수수,생것,118,23.39,4.01,1.5,4.91
옥수수,삶은것,118,23.53,3.99,1.47,4.2
옥수수,찐것,135,29.1,4.2,0.7,0.0
옥수수,구운것,372,78.3,8.9,3.9,0.0
옥수수,말린것,358,74.12,9.94,3.83,1.94
옥수수,가루,364,83.3,7.32,0.97,0.54
옥수수 과자,강냉이,409,87.9,7.16,3.25,13.52
옥수수 과자,전자레인지 조리,497,61.18,8.12,27.28,0.0
옥수수 과자,캐러멜맛,459,77.74,4.77,14.36,34.78
옥수수,가당,105,22.45,2.07,0.73,4.17
옥수수,크림,82,18.6,1.7,0.5,0.0
옥수수묵,-,55,12.6,1.1,0.0,0.0
옥수수 샐러드,콘샐러드,104,22.4,3.2,0.2,0.0
율무,생것,377,70.5,15.4,3.2,0.0
율무,죽,44,9.5,0.5,0.4,0.0
율무 국수,말린것,368,74.6,13.2,1.2,0.0
잡곡,생것,358,73.4,9.79,2.09,0.93
조,생것,373,71.7,11.48,3.91,0.71
조,찐것,115,22.71,3.14,1.13,0.0
찹쌀,생것,363,78.17,6.64,0.99,0.29
찹쌀,밥,155,33.93,2.58,0.33,0.0
찹쌀,죽,53,11.3,0.91,0.28,0.0
찹쌀,가루,375,82.08,6.44,0.57,0.08
찹쌀 과자,검정깨,475,48.3,13.8,25.2,0.0
찹쌀 과자,송화,343,76.1,4.4,2.3,0.0
찹쌀 과자,산자,417,75.6,2.0,11.8,0.0
찹쌀 과자,유과,411,77.49,1.96,10.37,14.72
찹쌀 과자,전병,446,79.6,7.8,10.7,0.0
찹쌀 국수,말린것,334,74.6,8.1,0.3,0.0
찹쌀떡,-,245,52.65,4.81,1.75,6.47
찹쌀떡,경단 카스텔라,237,51.1,4.1,1.8,0.0
찹쌀떡,모듬찰떡,223,47.4,5.7,1.2,0.0
찹쌀떡,약식,244,52.3,3.7,2.2,0.0
찹쌀떡,팥고물,204,44.8,4.2,0.9,0.0
찹쌀떡,콩고물,231,49.69,5.52,1.15,2.81
찹쌀떡,찰시루떡,181,37.63,6.63,0.41,1.22
찹쌀빵,찹쌀도넛,296,57.1,5.0,5.3,0.0
퀴노아,쪄서 말린것,363,72.62,9.56,3.26,1.34
피,생것,376,73.9,8.5,4.6,0.0
호밀,생것,334,70.7,15.9,1.5,0.0
호밀,가루,324,75.8,8.5,1.6,0.9
