식품명,단백질(g),지방(g),탄수화물(g),당류(g),에너지(kcal)
닭볶음(닭갈비),13.98,10.96,7.93,0.77,186
닭볶음(닭갈비)_닭가슴살_피망,16.39,5.65,1.38,0.29,122
당근볶음,0.93,6.63,7.79,4.5,95
돼지고기볶음_김치,11.81,10.05,5.93,2.9,161
돼지고기볶음_채소,16.57,7.59,8.63,6.67,169
돼지고기볶음(제육볶음),12.15,14.19,4.73,0.38,195
떡볶이,3.51,2.96,25.96,4.4,144
떡볶이_채소,3.12,1.88,57.06,1.97,258
라볶이,2.83,4.71,20.14,0.94,134
마늘쫑볶음,3.25,2.54,13.17,5.29,89
마늘쫑볶음_멸치,7.54,2.78,15.42,5.7,117
마파두부,7.29,6.48,5.36,2.45,109
멸치볶음,39.44,7.08,13.62,11.6,276
멸치볶음_견과류,30.4,24.32,18.36,14.02,414
멸치볶음_꽈리고추,23.62,14.08,7.96,6.24,253
멸치볶음_마늘쫑,32.4,10.84,12.42,4.26,277
멸치볶음_풋고추,20.62,6,13.3,9.02,190
문어볶음_고추장,10.97,1.02,8.62,5.44,88
미역줄기볶음,0.96,5.95,4.85,0.55,77
버섯볶음_느타리,2.8,6.2,6.78,4.24,94
버섯볶음_새송이버섯,2.95,8.03,9.29,3.75,121
브로콜리볶음,4.42,1.28,5.53,1.42,51
삼겹살볶음_묵은지김치,5.76,10.49,8.4,3.62,151
새우볶음,9.91,2.21,5.96,3.99,83
소고기볶음_고추장,14.36,10.79,10.7,9.7,197
소고기볶음_버섯,11.59,7.73,6.92,2.85,144
소고기볶음_채소,12.8,5.4,6.44,4.53,126
소시지볶음,11.94,19.38,14.41,5.83,280
애호박 볶음,1.32,3.62,5.3,0.42,59
양파볶음,0.99,1.54,9.51,9.15,56
어묵볶음,8.41,7.29,24.33,6.31,197
어묵볶음_채소,6.33,6.41,17.2,1.26,152
오징어볶음,9.85,6.52,7.43,1.93,128
유산슬,7.54,4.4,4.1,2.15,86
잔멸치볶음_견과류,24.34,22.22,22.64,14.54,388
잔멸치볶음_꽈리고추,24.78,17.48,9.24,5.84,293
잔멸치볶음_풋고추,28.24,8.32,16.94,10.62,256
잔멸치볶음_홍고추_풋고추,33.28,8,5.72,3.76,228
잡채,4.71,3.3,24.26,0.73,146
잡채_어묵,2.34,3.78,26.13,1.5,148
잡채_콩나물,1.93,0.97,12.55,9.37,67
죽순볶음_소고기,13.68,5.59,3.78,2.07,120
팔보채,12.42,2.9,3.42,2.09,90
풋고추볶음,1.93,3.23,8.25,4.34,70
햄볶음_채소,10.47,11.37,9.6,3.33,183
감자조림,2.4,3.52,18.1,7.68,114
고등어조림,11.25,8.84,4.1,3.39,141
꽁치조림,15.52,17.87,5.14,4.05,244
닭볶음탕,11.91,3.22,8.52,0.42,111
닭조림,18.03,10.9,6.57,0.5,197
닭조림_고추장,9.12,6.94,13.25,2.04,152
두부조림,9.64,9.66,4.4,3.64,143
땅콩조림,18.75,36.4,19.95,9.85,483
멸치조림,40.92,13.22,8.93,7.35,318
무조림,2.26,2.38,4.29,3.87,48
미트볼조림,18.15,10.73,12.95,10.52,221
버섯조림,4.38,2,6.23,1.95,60
병어조림,12.46,4.78,4.87,0.22,112
삼치조림,15.88,5.63,2.61,2.03,125
양미리조림,5.76,0.66,9.09,2.2,65
어묵조림,5.83,4.73,23.16,2.43,159
연근조림,2.68,5.1,29.42,2.78,174
오징어조림,16.55,2.37,12.45,6.85,137
오징어채조림,23.52,4.9,25.36,13.78,240
우엉조림,4.8,3.33,34.8,28.43,188
장조림_달걀,9.85,7.12,8.67,6.87,138
장조림_메추리알,14.25,13.41,6.3,3.48,203
장조림_소고기,10.41,0.86,4.84,1,69
장조림_소고기_메추리알,11.69,5.39,15.56,3.32,157
쥐포조림,13.03,8.86,36.12,23.37,276
코다리조림,16.46,0.4,4.16,3.67,86
콩조림(콩자반),17.97,7.73,34.83,3.53,281
감자튀김,4.55,17.01,35.15,0.37,312
김튀김,11,28.9,54.36,0.14,522
다시마튀각,8.44,26.52,47.32,17.24,462
닭다리튀김_간장,18.86,19.6,17.88,3.71,323
닭튀김_날개,17.17,16.27,10.49,0,257
떡강정,3.79,4.72,47.89,5.34,249
미역튀각,13.24,33.9,21.14,11.36,443
탕수육_새우,6.65,4.2,13.02,6.44,116
가지나물,1.42,1.5,4.18,2.34,36
고구마줄기나물,0.98,7,4.1,0,83
고사리나물무침,3.78,5.52,6.28,0.5,90
고춧잎나물무침,4.41,4.69,7.14,1.51,88
깻잎나물,2.68,5.18,5.04,2.04,78
