식품명,단백질(g),지방(g),탄수화물(g),당류(g),에너지(kcal)
"빵, 와플, 잼",-4.9,-4.2,-57.3,-36.4,279
"빵, 와플, 커스터드 크림",-7.3,-7.9,-38.1,-15.0,241
"빵, 잼빵",-5.3,-3.9,-58.1,-27.6,285
"빵, 찐빵, 단호박",5.4,0.9,52.4,-,239
"빵, 찐빵, 채소",8.1,5.5,37.3,-,231
"빵, 찐빵, 팥",5.96,1.29,44.36,10.42,213
"빵, 카스텔라",6.91,3.72,59.46,24.85,299
"빵, 크루아상",7.9,26.8,43.9,-,438
"빵, 크루아상, 버터",8.20,21.00,45.80,11.26,406
"빵, 크로켓",6.0,18.2,29.7,-,307
"빵, 크로켓, 채소",7.1,16.4,31.2,-,301
"빵, 크림빵",6.0,7.7,45.5,-,275
"빵, 크림빵, 버터",8.2,18.4,46.2,-,383
"빵, 팥빵",7.57,3.17,48.51,16.37,253
"빵, 페이스트리",8.6,26.3,46.5,-,457
"빵, 페이스트리, 과일",5.40,18.50,47.80,27.53,371
"빵, 페이스트리, 치즈",8.00,21.90,37.20,6.95,374
"빵, 피칸파이",4.50,16.69,59.61,25.18,407
"케이크, 과일(후르츠)",2.90,9.10,61.60,27.42,324
"케이크, 롤 케이크",7.51,20.22,39.24,17.41,369
"케이크, 배 케이크",6.2,10.8,43.5,-,296
"케이크, 생크림 블루베리",3.03,18.88,24.39,22.87,280
"케이크, 쇼튼드 케이크",-6.9,-15.2,-42.3,-24.3,318
"케이크, 스폰지 케이크",6.6,15.2,47.2,-,352
"케이크, 엔젤푸드 케이크",5.90,0.80,57.80,-,258
"케이크, 초콜릿 케이크",5.23,22.09,49.31,38.19,417
"케이크, 치즈 케이크",5.87,21.32,28.82,17.61,331
"케이크, 파운드 케이크",5.66,20.71,49.65,17.43,408
"케이크, 팬케이크",6.40,9.70,28.30,-,227
"보리, 겉보리, 도정, 생것",8.75,1.67,76.89,0.92,349
"보리, 겉보리, 큰알보리1호, 도정, 생것",8.13,1.75,76.39,0.72,345
"보리, 겉보리, 흑수정찰, 도정, 생것",9.38,1.60,77.39,1.11,352
"보리, 겉보리, 늘보리, 도정, 생것",9.79,1.77,75.08,0.50,346
"보리, 겉보리, 조곡, 생것",11.01,2.37,72.84,1.42,347
"보리, 겉보리, 큰알보리1호, 조곡, 생것",10.39,2.41,72.85,1.43,345
"보리, 겉보리, 흑수정찰, 조곡, 생것",11.64,2.34,72.82,1.42,349
"보리, 겉보리, 압맥",8.74,1.66,75.38,0.10,343
"보리, 겉보리, 할맥",9.30,1.67,77.71,1.62,354
"보리, 겉보리, 밥",3.55,0.70,31.79,0.37,144
"보리, 겉보리, 큰알보리1호, 밥",3.17,0.65,30.60,0.22,138
"보리, 겉보리, 흑수청찰, 밥",3.93,0.75,32.97,0.53,150
"보리, 맥주보리, 두산8호, 도정, 생것",10.0,1.0,78.0,-,352
"보리, 쌀보리, 도정, 생것",8.66,1.66,75.04,0.51,341
"보리, 쌀보리, 누리찰, 도정, 생것",8.89,1.57,74.77,0.57,340
"보리, 쌀보리, 호강, 도정, 생것",7.80,1.59,75.91,0.46,341
"보리, 쌀보리, 찰보리, 도정, 생것",11.87,2.15,72.29,0.50,346
"보리, 쌀보리, 찰보리, 서둔찰보리, 도정, 생것",9.7,1.1,78.5,-,354
"보리, 쌀보리, 찰보리, 할맥",8.5,1.0,82.0,-,362
"보리, 쌀보리, 밥",3.58,0.73,31.72,0.08,144
"보리, 쌀보리, 누리찰, 밥",3.77,0.72,30.99,0.08,142
"보리, 쌀보리, 호강, 밥",3.39,0.73,32.45,0.08,146
"보리, 가루",11.16,1.83,76.48,0.30,357
"보리, 가루, 껍질 포함",10.95,2.99,76.09,0,364
"보리, 볶은것",12.7,2.6,74.1,-,360
"보리, 엿기름",14.65,2.71,71.68,10.24,358
"수수, 도정, 생것",11.67,3.01,73.63,0.46,374
"수수, 찰수수, 도정, 생것",11.20,3.22,72.91,0.53,371
"수수, 찰수수, 남풍찰, 도정, 생것",11.03,3.67,74.03,0.68,378
"수수, 찰수수, 소담찰, 도정, 생것",12.73,3.02,73.19,0.66,376
"수수, 통수수, 생것",10.5,3.1,76.5,-,360
"수수떡, 수수경단",8.2,1.4,43.1,-,218
"시리얼, 쌀",6.65,1.68,86.99,21.72,390
"시리얼, 옥수수",5.11,0.59,88.05,39.55,378
"시리얼, 옥수수, 그래놀라, 건조과일",5.81,3.65,84.66,35.14,395
"시리얼, 옥수수, 그래놀라, 코코넛",5.56,9.75,80.93,29.49,434
"시리얼, 옥수수, 아몬드",7.30,9.29,78.18,34.79,426
"시리얼, 옥수수, 코코아",6.08,4.34,85.78,40.91,407
"시리얼, 현미",6.80,2.79,85.33,17.24,394
"아마란스, 노란색, 말린것",17.09,5.94,67.27,1.65,383
"아마란스, 빨간색, 말린것",16.47,5.78,67.59,1.71,381
"옥수수, 단옥수수, 생것",4.01,1.50,23.39,4.91,118
"옥수수, 단옥수수, 고당옥, 생것",3.87,1.24,21.61,4.58,108
"옥수수, 단옥수수, 고당옥1호, 생것",3.91,1.09,21.82,6.07,108
"옥수수, 단옥수수, 단옥3호, 생것",4.26,2.15,26.74,4.09,137
"옥수수, 단옥수수, 삶은것",3.99,1.47,23.53,4.20,118
"옥수수, 단옥수수, 고당옥, 삶은것",3.93,1.20,22.64,4.42,112
"옥수수, 단옥수수, 고당옥1호, 삶은것",4.14,1.33,21.25,3.61,108
"옥수수, 단옥수수, 단옥3호, 삶은것",3.91,1.89,26.71,4.57,134
"옥수수, 단옥수수, 찐것",4.2,0.7,29.1,-,135
"옥수수, 메옥수수, 생것",5.34,2.06,36.26,0.31,178
"옥수수, 메옥수수, 삶은것",5.11,2.19,34.89,0.29,173
"옥수수, 메옥수수, 구운것",8.9,3.9,78.3,-,372
